Week,Clicks,Impressions,Avg. CPC,Cost
Week of 24 Nov 2025,30,524,HUF130,"HUF3,901"
Week of 1 Dec 2025,167,"3,060",HUF149,"HUF24,822"
Week of 8 Dec 2025,173,"2,638",HUF140,"HUF24,262"
Week of 15 Dec 2025,159,"2,862",HUF156,"HUF24,752"
Week of 22 Dec 2025,152,"2,303",HUF158,"HUF24,049"
Week of 29 Dec 2025,201,"2,427",HUF107,"HUF21,573"
Week of 5 Jan 2026,202,"3,075",HUF126,"HUF25,426"
Week of 12 Jan 2026,218,"2,851",HUF101,"HUF22,027"
Week of 19 Jan 2026,216,"2,724",HUF122,"HUF26,291"
Week of 26 Jan 2026,213,"2,859",HUF105,"HUF22,398"
Week of 2 Feb 2026,183,"3,081",HUF143,"HUF26,111"
Week of 9 Feb 2026,186,"3,290",HUF152,"HUF28,269"
Week of 16 Feb 2026,185,"2,539",HUF144,"HUF26,717"
Week of 23 Feb 2026,194,"2,564",HUF124,"HUF24,089"
Week of 2 Mar 2026,174,"2,840",HUF135,"HUF23,540"
Week of 9 Mar 2026,185,"2,819",HUF137,"HUF25,437"
Week of 16 Mar 2026,110,"1,566",HUF133,"HUF14,661"
